review_text,rating,date,user,delivery,menu
가족이랑 함께 붓카케우동 맛봤어요. 전반적으로 괜찮은데 사이드메뉴가 더 다양했으면 좋겠어요 막 오픈한 집이라 기대 안했는데 맛있어요,4,2023-10-15,1001.0,1.0,붓카케우동
오픈했다길래 와봤어요~ 가마타마우동 맛있네요! 다만 양이 조금 적은게 아쉽네요,4,2023-10-15,1002.0,1.0,가마타마우동
혼밥하러 와서 들어와봤어요. 쇼유우동 맛있는데 가격이 조금 있는 편이에요,4,2023-10-15,1003.0,1.0,쇼유우동
혼밥하러 와서 가마타마우동 먹었는데 맛있네요! 다만 계산대가 좀 혼잡해요 🥺,4,2023-10-15,1004.0,1.0,가마타마우동
혼밥하러 와서 붓카케우동 먹었는데 면이 진짜 쫄깃해요! 사이드 메뉴도 맛있어요 👍,5,2023-10-15,1005.0,1.0,붓카케우동
웨이팅 없이 바로 들어와서 가케우동 먹었는데 이런 맛집이 숨어있다니! 직원분들이 친절하세요,5,2023-10-15,1006.0,1.0,가케우동
붓카케우동 완전 맛있어요! 재료가 신선한게 느껴져요 👍,5,2023-10-16,1007.0,1.0,붓카케우동
가마타마우동 아쉬워요... 음식이 눅눅해요,2,2023-10-16,1008.0,1.0,가마타마우동
점심시간에 왔다가 붓카케우동 먹어봤는데 평범... 메뉴가 좀 단조로워요,3,2023-10-16,1009.0,1.0,붓카케우동
가족이랑 함께 와카메우동 퀄리티가 대박이네요. 가성비 좋은 맛집이에요 💖,5,2023-10-16,1010.0,1.0,와카메우동
오픈했다길래 와봤어요~ 쇼유우동 맛있네요! 다만 테이블이 좀 좁아요,4,2023-10-16,1011.0,1.0,쇼유우동
점심시간에 붓카케우동 먹었는데 면이 진짜 쫄깃해요! 면발이 쫄깃쫄깃하니 좋네요 🥰,5,2023-10-16,1012.0,1.0,붓카케우동
오픈했다길래 와봤어요~ 가마타마우동 맛있네요! 다만 웨이팅 공간이 좁아요 아직 손님이 많지 않아서 좋네요,4,2023-10-16,1013.0,1.0,가마타마우동
소문나기 전에 가봤어요 쇼유우동 진짜 맛있네요! 면발이 쫄깃쫄깃하니 좋네요,5,2023-10-17,1014.0,1.0,쇼유우동
데이트 코스로 들어왔다가 대박 맛집 발견! 츠키미우동 진짜 맛있어요 국물이 진하고 맛있어요,5,2023-10-17,1015.0,1.0,츠키미우동
새로 생긴 우동집! 붓카케우동 맛있네요~ 근데 웨이팅 공간이 좁아요,4,2023-10-17,1016.0,1.0,붓카케우동
성수 신상 맛집 발견! 가마타마우동 강추합니다. 생면이라 그런지 식감이 남달라요 🥺,5,2023-10-17,1017.0,1.0,가마타마우동
조용하고 여유있게 와카메우동 먹었네요~ 육수가 깊고 진해요,5,2023-10-17,1018.0,1.0,와카메우동
기대했는데 쇼유우동 평범하네요... 메뉴가 좀 단조로워요,3,2023-10-17,1019.0,1.0,쇼유우동
분위기도 좋고 쇼유우동도 맛있어요! 아쉬운 점은 웨이팅 공간이 좁아요 성수동에 이런 맛집이 생겼네요,4,2023-10-17,1020.0,1.0,쇼유우동
친구가 추천해서 왔는데 붓카케우동 진짜 맛있네요! 가성비 좋은 맛집이에요 ✨,5,2023-10-18,1021.0,1.0,붓카케우동
혼밥하러 와서 붓카케우동 맛있게 먹었어요. 한 가지 아쉬운건 메뉴가 좀 단조로워요 👍,4,2023-10-18,1022.0,1.0,붓카케우동
이름값만 있는건가요? 츠키미우동 서비스가 너무 불친절해요,1,2023-10-18,1023.0,1.0,츠키미우동
가족이랑 함께 츠키미우동 진짜 맛있네요. 재료가 신선한게 느껴져요,5,2023-10-18,1024.0,1.0,츠키미우동
혼밥하러 와서 왔다가 붓카케우동 먹어봤는데 평범... 웨이팅 공간이 좁아요,3,2023-10-18,1025.0,1.0,붓카케우동
저녁 먹으러 들어왔다가 대박 맛집 발견! 쇼유우동 진짜 맛있어요 가게 분위기도 좋고 깔끔해요 막 오픈한 집이라 기대 안했는데 맛있어요,5,2023-10-18,1026.0,1.0,쇼유우동
저녁 먹으러 붓카케우동 진짜 맛있네요. 가게 분위기도 좋고 깔끔해요 👍,5,2023-10-18,1027.0,1.0,붓카케우동
혼밥하러 와서 와카메우동 괜찮네요. 아쉬운 점은 양이 조금 적은게 아쉽네요 👍,4,2023-10-18,1028.0,1.0,와카메우동
오픈했다길래 와봤어요~ 와카메우동 맛있네요! 다만 자리가 좀 불편해요 아직 손님이 많지 않아서 좋네요,4,2023-10-19,1029.0,1.0,와카메우동
가마타마우동 맛있어요! 근데 웨이팅 공간이 좁아요 ✨,4,2023-10-19,1030.0,1.0,가마타마우동
웨이팅 없이 바로 들어와서 냉우동 먹었는데 이런 맛집이 숨어있다니! 육수가 깊고 진해요 새로 오픈한 가게라 그런지 깨끗해요,5,2023-10-19,1031.0,1.0,냉우동
저녁 먹으러 들어와봤어요. 냉우동 맛있는데 좌석이 좀 더 많았으면 해요,4,2023-10-20,1032.0,1.0,냉우동
오픈한지 얼마 안됐다고 해서 기대 안했는데 가마타마우동 먹고 깜짝 놀랐어요! 일본 현지 맛이에요 막 오픈한 집이라 기대 안했는데 맛있어요,5,2023-10-20,1033.0,1.0,가마타마우동
데이트 코스로 왔다가 가마타마우동 먹어봤는데 평범... 음식 나오는 시간이 조금 걸려요 웨이팅 없이 먹을 수 있어서 좋아요,3,2023-10-20,1034.0,1.0,가마타마우동
가케우동 아쉬워요... 서비스가 너무 불친절해요 😍,2,2023-10-20,1035.0,1.0,가케우동
